主办方,计数
北方民族大学创新创业教育中心,1
北海职业学院电子信息工程学院,1
区政府,1
千龙网 等,1
华东地区数学建模联盟,1
华东师范大学 等,2
华东师范大学学生红十字会 等,1
华东政法大学,1
华东政法大学 等,1
华东政法大学研究生教育院,1
华东理工大学化工创新实践大赛组委会,1
华东理工大学微生物竞赛组委会,1
华东理工大学教务处,2
华东理工大学教务处 等,4
华东理工大学生物工程学院应用生物学系,1
华中农业大学imath数学协会,1
华中农业大学教务处  校团委,1
华中农业大学教务处 等,1
华中农业大学数学竞赛组委会,2
华中农业大学本科生院 等,1
华中地区模拟联合国大会,1
华中大科协,1
华中师范大学数学建模与应用协会,1
华中师范大学数学建模与数学应用协会,1
华中师范大学物理科学与技术学院团委,1
华中科技大学,4
华中科技大学 等,1
华中科技大学基建管理处 等,1
华中科技大学大学生科学技术协会 等,1
华中科技大学学生会,2
华中科技大学教务处,4
华中科技大学教务处 等,1
华中科技大学联创团队,1
华中科技大学联创团队 等,1
华为,5
华为云计算有限公司 等,1
华为公司,1
华为大学生无线基站“算法与建模”创新大赛组委会,1
华为开发者联盟,7
华为技术有限公司,5
华为技术有限公司 等,2
华为数字能源公司,1
华为数字能源研发招聘,1
华为终情 等,1
华北五省（市、自治区）教育厅（教委）,1
华北理工大学,1
华北理工大学教务处,3
华北理工大学数学建模协会 等,1
华北理工大学理学院 等,1
华南理工大学 等,2
华夏地理,1
华夏文化促进会,1
华夏文化促进会国医文化传承专业委员会,2
华夏文化促进会文化和科技融合工作委员会,4
华夏文化促进会素质教育委员会,8
华夏文化促进会素质教育委员会 等,2
华夏时报、羽贝纳传媒、英皇文化、格瓦拉、锋仕路传媒,1
华大集团 等,1
华晨宝马汽车有限公司,1
华润雪花啤酒,1
华润雪花啤酒(中国)有限公司、清华大学建筑学院,1
华润雪花啤酒（中国）有限公司,1
华润雪花啤酒（武汉）有限公司,1
华灿奖组委会,1
华硕电脑股份有限公司,1
华西都市报 等,1
协鑫集团 等,1
卓多姿,1
南京中医药大学数学建模协会,2
南京信息工程大学 等,1
南京大学,1
南京大学 等,1
南京大学中国新文学研究中心新诗研究所,1
南京大学校园电子设计大赛组委会,2
南京市人民政府,1
南京市农业委员会 等,1
南京市委宣传部 等,1
南京市委宣传部、南京市文明办、南京市市场监督管理局、南京市广播电视局、江北新区党工委宣传部,1
南京市建邺区图书馆,1
南京市栖霞区文化旅游局,1
南京市浦口区人力资源和社会保障局,1
南京市科学技术协会,1
南京市规划和自然资源局 等,1
南京市青年大学生创业工作领导小组办公室,1
南京师范大学国家社科重大招标课题《抗日老战士口述史资料抢救整理》课题组 等,1
南京江北图书馆,1
南京禄口国际机场 等,1
南京航空航天大学,1
南京航空航天大学 等,2
南京航空航天大学团委,1
南京航空航天大学团委 等,1
南京航空航天大学图书馆 等,1
南京航空航天大学教务处,3
南京航空航天大学教务处 等,5
南京航空航天大学教务处、研究生院、学生处、科技部、校团委,1
南京航空航天大学校团委 等,1
南京航空航天大学研究生院 等,1
南京航空航天大学航空宇航学院,1
南京航空航天大学计算机科学与技术学院,3
南京航空航天大学金城学院,1
南京艺术学院,2
南京论之语网络技术有限公司,1
南华大学教务处,1
南华大学机械工程学院,1
南宁市人力资源和社会保障局,1
南宁文学院(《红豆》杂志社) 等,1
南山区科学技术协会 等,1
南昌大学,1
南昌大学教务处,11
南昌大学教务处  等,1
南昌大学教务处 等,2
南昌市人民政府 等,1
南昌市委宣传部 等,1
南昌市文化广电新闻出版旅游局,1
南昌市文化广电旅游局,1
南昌航空大学科技学院信息电子学部总支部委员会 等,1
南航航空航天大学计算机科学与技术学院,1
南通大学教务处,1
南通市委 等,1
南通市委市政府,1
南风窗杂志社,1
博世公司,1
博德西奥国际建筑设计有限公司(BDCL)、北方工业大学(NCUT),1
博德西奥国际建筑设计有限公司（BDCL）  等,1
卡塔尼亚喜来登酒店及会议中心,1
卡萨帝,1
原国家食品药品监督管理总局新闻宣传中心 等,1
厦门华厦学院,1
厦门大学,2
厦门大学艺术学院 等,1
厦门市人力资源和社会保障局 等,1
厦门市人民政府,3
厦门市人民政府 等,2
厦门市工业和信息化局 等,2
厦门市建筑装饰协会 等,1
厦门市建设局,1
厦门市翔安区人民政府 等,1
厦门日报社,1
厦门日报社主办 等,1
厦门火炬高技术产业开发区人才服务中心 等,2
厦门经济和信息化局 等,1
厦门航空有限公司 等,1
古田县人民政府,1
可口可乐中国 等,1
台北市政府产业发展局,2
台湾大学 等,1
台湾工业总会 等,2
台湾省經濟部工業局,1
台湾艺术发展协会 等,1
司法部 等,1
合肥学院,1
合肥学院团委,1
合肥工业大学创新创业教育中心 等,1
合肥工业大学创新学院 等,1
合肥工业大学教务部创新创业教育中心 等,1
合肥市人民政府,1
合肥市学生联合会,1
合肥市数据资源局,1
合肥市经济与信息化委员会 等,1
吉他中国网,1
吉林大学法学院,1
吉林日报社（吉林日报报业集团）,1
吉林省工业和信息化厅 等,1
吉林省希望工程办公室 吉林省青少年发展基金会 吉林省社会信用体系建设促进会 吉林省中小微企业商会 长春万达影城,1
吉林省教育厅,4
吉林省模拟联合国大会,1
吉林省科学技术厅,1
吉林省科技厅,4
吉林省科技厅 等,1
吉首大学,1
吉首大学家界校区教科办,1
吉首大学张家界校区教科办,3
吉首大学教务处,12
吉首大学教务处 等,5
吉首大学教务处、数学与统计学院、数学科技创新与竞赛工作室,1
吉首大学教务处、生物资源与环境科学学院、生态环境保护创新工作室,1
吉首大学教务处，信息科学与工程学院,1
吉首大学科学创新与竞赛工作室和吉首大学医学院,1
同济大学,9
同济大学 等,1
同济大学创意设计学院 等,1
同济大学环境科学与工程学院,3
同济大学语言文字工作委员会 等,1
吕梁市读书协会,2
周大福,1
呼和浩特市文化旅游广电局,1
哇哈哈,1
哈佛大学中国经济史大数据研究项目组,1
哈尔滨剑桥学院,1
哈尔滨商业大学,2
哈尔滨工业大学交通学院,1
哈尔滨工业大学化工与化学学院,1
哈尔滨工业大学化工与化学学院团委,3
哈尔滨工业大学外国语学院大学英语第二教学部,1
哈尔滨工业大学学生工作处 等,1
哈尔滨工业大学市政环境工程学院学生工作办公室 等,1
哈尔滨工业大学市政环境工程学院环境科学与工程系 等,1
哈尔滨工业大学总务处 等,1
哈尔滨工业大学智能车创新俱乐部,1
哈尔滨工业大学机电学院,2
哈尔滨工业大学机电学院 等,1
哈尔滨工业大学机电学院团委,2
哈尔滨工业大学武装部,1
哈尔滨工业大学电信学院团委 学生会,1
哈尔滨工业大学电信学院团委 等,3
哈尔滨工业大学留学生中心,1
哈尔滨工业大学管理学院,1
哈尔滨工业大学能源学院,1
哈尔滨工业大学航天学院,1
哈尔滨工程大学,1
哈尔滨工程大学理学院工科数学教研部,1
哈尔滨市人力资源 等,1
哈尔滨市人力资源和社会保障局,2
哈尔滨市人才工作领导小组办公室 等,1
哈尔滨市翻译协会,2
哈尔滨市翻译协会 等,1
哈尔滨理工大学 等,1
哈工大机器人集团,1
唐山高校读书联盟,2
商务印书馆《英语世界》 杂志社,3
商务印书馆《英语世界》杂志社,19
喜年星（北京）文化传媒有限公司,1
嘉兴市文化广电新闻出版局,1
嘉峪关市人民政府,1
四川博新智数科技研究院,8
四川博新智数科技研究院 等,1
四川博新智数科技研究院（省级） 等,1
四川同算科技有限公司,1
四川大学,3
四川大学 教务处 等,1
四川大学体育舞蹈协会,1
四川大学力学竞赛组委会,1
四川大学外国语学院、教务处,1
四川大学大学生程序设计竞赛社团,1
四川大学工业工程协会,1
四川大学教务处,2
四川大学教务处 等,3
四川大学教务处、 四川大学外国语学院,1
四川大学教务处、商学院,1
四川大学教务处、建筑与环境学院和工程训练中心,1
四川大学材料科学与工程学院 等,1
四川工程职业技术学院数学建模团队,1
四川技能大赛,1
四川省人力资源和社会保障厅 等,2
四川省人力资源社会保障厅、四川省财政厅、四川省教育厅、四川省退役军人事务厅、四川团省委、四川省妇联、四川省残联,1
四川省作家协会 等,1
四川省大数据中心 等,1
四川省大数据中心、中共四川省委网络安全和信息化委员会办公室、四川省发展和改革委员会、四川省经济和信息化厅、四川省科学技术协会,1
四川省学生联合会,1
四川省工业经济联合会 等,1
四川省总工会 等,3
四川省摄影家协会,1
四川省教育厅,21
四川省教育厅 等,4
四川省文化产业发展促进中心 等,1
四川省文化厅,1
四川省林业和草原局 等,1
四川省生产力促进中心 等,1
四川省生产力促进中心协会,1
四川省科学学与科技政策研究会 等,2
四川省翻译协会,4
四川省翻译协会 等,1
四川省通信管理局 等,1
四川阿坝藏族羌族自治州人民政府 等,1
团中央学校部 等,2
团中央维护青少年权益部 等,1
团中央网络影视中心 等,1
团中央青年发展部,1
团委,11
团委、体育部、学生会,8
团委、学生会,4
团委、教务处,2
团委、模拟联合国,1
团委、研究生会,2
团省委 等,1
园冶杯组委会,2
园洲杯全国休闲服装设计大赛组委会,1
国三维数字化创新设计大赛组委会 等,1
国信优易数据有限公司 等,1
国务院学位委员会农林经济管理学科评议组 等,1
国家互联网信息办公室,1
国家互联网信息办公室 科学技术部 国务院国有资产监督管理委员会  国家发展和改革委员会 工业和信息化部 福建省人民政府,1
国家互联网信息办公室 等,1
国家互联网信息办公室、工业和信息化部、公安部、国家广播电视总局、厦门市人民政府,1
国家人口与健康科学数据共享服务平台,1
国家人口健康科学数据中心,3
国家体育总局,2
国家体育总局 等,1
国家体育总局、教育部、科技部,1
国家体育总局体育文化发展中心、江苏省体育局,1
国家体育总局冬季运动管理中心,1
国家体育总局冬季运动管理中心 等,2
国家体育总局射击射箭运动管理中心　　 等,1
国家体育总局棋牌运动管理中心 等,2
国家体育总局田径运动管理中心,1
国家体育总局社会体育指导中心,2
国家体育总局社会体育指导中心 等,1
国家体育总局篮球运动管理中心 等,1
国家信息中心 等,1
国家动漫游戏产业（四川）振兴基地 等,1
国家医疗器械产业技术创新联盟 等,1
国家医疗器械产业技术创新联盟暨医疗器械创新网,1
国家卫生健康委人口文化发展中心,1
国家卫生健康委办公厅,1
国家发展和改革委员会  等,1
国家发展改革委                   等,1
国家发展改革委宏观经济杂志社 等,1
国家发改委 等,1
国家地理中文网 等,1
国家外国专家局国外人才信息研究中心 等,1
国家大剧院,1
国家工业信息安全发展研究中心,1
国家工业和信息化部 等,1
国家工业设计研究院（生态设计领域）、中国国际贸易促进委员会商业行业委员会,1
国家市场监督管理总局,4
国家广播电视总局,1
国家广播电视总局 等,1
国家广播电视总局、北京市人民政府指导，中共北京市委宣传部、北京市广播电视局,1
国家广播电视总局办公厅,1
国家数据局,1
国家文物局 等,1
国家新能源技术创新中心,1
国家新闻出版广电总局 等,1
国家服务外包人力资源研究院联合全国商圈、全国高校,1
国家木质资源综合利用工程技术研究中心 等,1
国家林业和草原局,1
国家模具产品质量监督检验中心（广东） 等,1
国家民族事务委员会 等,1
国家气象中心（中央气象台） 等,1
国家测绘地理信息局职业技能鉴定指导中心 等,1
国家海洋局 等,2
国家海洋局、教育部、共青团中央、海军,1
国家海洋局宣传教育中心 等,2
国家海洋局宣传教育中心、中国海洋大学,1
国家版权局,1
国家知识产权局 等,2
国家科技基础条件平台中心,5
国家科技部 等,1
国家科技部、宁波市人民政府,1
国家税务总局,1
国家级大学物理课程虚拟教研室（中南大学）,1
国家级实验教学示范中心联席会物理学科组 等,1
国家自然科学基金委员会信息科学部、中国电子学会、清华大学,1
国家航天局,1
国家邮政局,2
国家陶瓷行业工业设计研究院 等,1
国家预警信息发布中心 等,1
国家食品药品监督管理总局新闻中心 等,1
国家高端装备与智能智造软件检测中心 等,1
国家高速列车青岛技术创新中心 等,1
国民技术,2
国泰航空有限公司,1
国防科工局 等,1
国防科技创新特区试验示范区沈阳工作站（沈阳飞机设计研究所）,1
国防科技工业空天防御创新中心 等,1
国际iCAN联合会 等,1
国际iCAN联盟 等,1
国际iF概念设计奖大赛组委会,1
国际公益短片大赛组委会,1
国际勘探地球物理家学会（SEG） 等,1
国际商业机器（中国）有限公司,2
国际商业领袖青年联合会,1
国际园林景观规划设计行业协会、中国建筑学会,1
国际大学生商学联合会 等,1
国际大学生物理竞赛组委会,1
国际大学生环保漫画插画大赛组委会,1
国际天文学联合会（IAU）天文教育办公室（OAE）,1
国际太阳能学会 等,3
国际奥林匹克委员会（IOC） 等,1
国际安全运输协会（ISTA） 等,1
国际建筑师公共卫生联盟组织（UIA-PHG） 等,1
国际建筑师协会（UIA） 等,5
国际数据委员会（CODATA） 等,1
国际标准化杰出贡献奖励基金会 等,1
国际植物学会和菌物学会,1
国际水中机器人联盟,1
国际泳装模特大赛组委会,1
国际竹藤中心,1
国际竹藤中心 等,1
国际竹藤组织 等,1
国际竹藤组织、国际竹藤中心、中国竹产业协会、福建省林业局、三明市人民政府,1
国际经济伦理研究中心（CIBE）,1
国际节能环保协会 等,1
国际英语外语教师协会中国英语外语教师协会,5
国际英语外语教师协会中国英语外语教师协会 等,6
国际英语外语教师协会中国英语外语教师协会（IATEFL·TEFL China）,1
国际钢铁协会,1
国际青年美术设计协会 等,1
国际青年能源与气候变化峰会,1
国际（澳门）学术研究院人工智能研究所,1
国际（澳门）学术研究院数学科学研究所 等,1
国青杯高校艺术设计作品展评组委会,2
國立台灣大學智慧機器人及自動化國際研究中心,1
國立臺北大學法律學系,1
土木学院创新协会,1
土木学院创新协会建环学部,3
土木工程学院大学生科技创新中心,1
城建集团 等,1
基准方中建筑设计有限公司,1
基础教学部,1
塔读小说,1
塔里木大学信息工程学院,3
塔里木大学大学教务处,1
塔里木大学教务处,6
塔里木大学数学建模协会,2
塔里木大学研究生处,1
墨西哥escuchamivoz海报国际大赛,1
墨西哥国际海报大赛 组委会,1
壳牌,3
壳牌（中国）有限公司,1
复旦大学,1
复旦大学创新创业学院,1
复旦大学教务处 等,1
复旦大学数学科学学院,10
复旦大学管理学院,1
复旦大学通识教育中心,1
外交学院,1
外交部领事司 等,1
外文学院大学生传媒中心海报部,1
外研社（外语教学与研究出版社） 等,2
外语教学与研究出版社,10
外语教学与研究出版社 等,6
外语教学与研究出版社 （外研社） 等,1
多校数学建模联赛组委会,1
多牛传媒集团 等,1
大同市人民政府、山西传媒学院（国家语言文字推广基地）,1
大国英才职业技能鉴定中心,1
大国英才职业鉴定中心,2
大学生互助社,1
大学生创新训练中心,1
大学生工程实践与创新能力大赛组委会,1
大学生新媒体运营技能飞跃计划训练营,1
大学生物理协会,1
大工创新实验学院,1
大广节学院奖组委会,1
大物实验中心 等,1
大疆,1
大美中国全国摄影大赛组委会,1
大自然保护协会,1
大赛下设组委会,1
大赛组委会,1
大赛组织委员会,1
大连东软信息学院,1
大连出版社 等,1
大连外国语大学 等,1
大连大学团委 等,1
大连市妇女联合会 等,1
大连市文化产业发展领导小组办公室 大连市公共文化服务中心 共青团大连市委员会,1
大连市智能汽车竞赛组委会,1
大连市科学技术局、大连理工大学,1
大连市计算机学会 等,6
大连理工创新实验学院,1
大连理工大学,1
大连理工大学创新实验学院,5
大连理工大学创新实验学院、共青团大连理工大学委员会、大连理工大学教务处、大连理工大学招生就业处、大连创业工坊,1
大连理工大学化工与环境生命学部,1
大连理工大学教务处,2
大连理工大学教学事务部,6
大连理工大学盘锦校区文法学院 等,2
大连理工大学软件学院 等,1
大陆集团,1
天使湾创投,3
天启智源数字媒体实验室 等,1
天地人环保协会,1
天娱传媒,1
天山文学奖评奖办公室,1
天府杯全国大学生数学建模竞赛组委会,2
天文科普工作协作组 等,1
天津医科大学教务处,2
天津国际设计周组委会,1
天津国际设计周设计竞赛,1
天津外国语大学职业发展协会,1
天津大学,2
天津大学建筑学院 等,1
天津工业大学校团委 等,1
天津市人社局 等,1
天津市体育局,1
天津市北辰区人民政府,1
天津市委网信办 等,1
天津市教育委员会,8
天津市教育委员会高等教育处,1
天津市文化和旅游局、天津市西青区人民政府,1
天津市旅游局,1
天津市未来与预测科学研究会,4
天津市未来与预测科学研究会 等,5
天津市模拟联合国大会,1
天津市滨海新区人力资源和社会保障局 等,1
天津市滨海新区人民政府,1
天津市礼仪行业协会 等,1
天津市精神文明建设委员会办公室 等,2
天津市设计学学会 等,1
天津市高新技术企业协会,1
天津礼仪行业协会,1
天津神界漫画有限公司,1
天津经济技术开发区团委,1
天津经济技术开发区科技创新局,1
天津经济技术开发区管委会 等,1
天津经济技术开发区（“TEDA”）,1
天津轻工职业技术学院网络技术社团,1
天空之城,1
天翼云杯”上海市大学生云计算应用大赛组委会,1
太原工业学院教务处,7
太原工业学院理学系,1
太原市委宣传部 等,1
央视融媒网·中国,3
奥雅设计之星大学生竞赛组委会,1
好丽友食品有限公司 等,1
好贷 等,1
好贷网,1
好贷网、数学中国、SAS（中国）、中国联通、拉卡拉、闪银、数信互融、慧信金安、法海风控、国政通等,1
威丝曼,1
威卢克斯集团、国际建筑师协会（UIA）和欧洲建筑教育协会（EAAE）,1
威海市人民政府 等,1
威海市文化和旅游局,1
威立雅集团,1
媒苑作坊工作室 等,1
孔子学院总部/国家汉办湖南省人民政府,1
字节跳动,1
学年奖design1881论坛,1
学校,1
学生工作部 等,3
学生工作部（处） 等,3
学生社团联合会,1
宁夏回族自治区教育厅,7
宁夏大学,2
宁夏大学 等,1
宁夏大学党委宣传部,1
宁夏大学创新创业学院,1
宁夏大学教务处,1
宁夏师范学院,1
宁夏教育厅,6
宁夏数学会,1
宁夏理工学院机械工程学院 等,1
宁德市委宣传部 等,2
宁波国际微电影节组委会,2
宁波市人民政府,1
宁波市人民政府 等,1
宁波市教育局 等,1
宁波市文化广电旅游局（文物局）  等,1
宁波市鄞州区人民政府 等,1
宁波银行,1
宁波银行股份有限公司,2
安康市文化和旅游广电局,1
安徽三联学院,1
安徽大学教务处,1
安徽工程大学体育运动委员会 等,1
安徽工程大学教务处 等,2
安徽师范大学数学建模协会 等,1
安徽师范大学环境与健康协会,1
安徽师范大学诗学研究中心 等,1
安徽广播电视台联合《诗刊》社,1
安徽建筑大学教务处 等,3
安徽建筑大学教务处、校团委,4
安徽建筑大学教务处（招生办、创新创业学院）,1
安徽建筑大学数学建模协会,1
安徽建筑大学数学建模协会 等,1
安徽文学艺术院,1
安徽文达信息工程学院营销协会,1
安徽水利水电职业技术学院基础教学部,1
安徽省体育局、上海市体育局、江苏省体育局、浙江省体育局、黄山市人民政府,1
安徽省发展和改革委员会 等,4
安徽省地震局  等,1
安徽省外国语言文学学会 等,1
安徽省妇女联合会 等,1
安徽省工业设计协会 等,1
安徽省市场监督管理局 等,2
安徽省扶贫办 等,1
安徽省摄影家协会、安徽省网络文艺传播中心、中安在线、中铁四局文化传媒分公司,1
安徽省教育厅,22
安徽省文化厅 等,1
安徽省文化和旅游厅,1
安徽省文化馆 等,1
安徽省文学艺术界联合会 等,2
安徽省旅游局,1
安徽省环境保护宣传教育中心 等,2
安徽省电影电视评论学会 等,1
安徽省知识产权局 等,3
安徽省科协 等,1
安徽省科学技术协会 等,1
安徽省经济和信息化委 等,1
安徽省经济和信息化委员会,1
安徽省经济和信息化委员会 等,1
安徽省翻译协会,2
安徽省翻译协会 等,1
安徽省高等学校图书情报工作委员会 等,2
安徽省高等学校计算机教育研究会,1
安永,4
安永咨询,1
安福县人民政府安福武功山管委会  等,1
安阳市人民政府,1
完美世界控股集团 等,1
完美动力集团,1
宜兴市人力资源和社会保障局 等,1
宜宾市人民政府,1
宣传部,1
宣城市人民政府,1
容艺传媒 等,1
对外经济大学主办、福汇集团,1
对外经济贸易大学保险学院,2
对外经济贸易大学国际经济伦理研究中心,1
对外经贸大学保险学院风险管理与保险学社,1
寻材问料®,1
小红书 等,1
小鱼网　  等,1
尼山世界儒学中心  等,1
山东农业大学,1
山东农业大学机电学院学生会,1
山东出版集团有限公司,1
山东大学,3
山东大学本科生院,1
山东大学（威海）玛珈诗社 等,1
山东工艺美术学院 等,2
山东教育社,1
山东数学会,9
山东文艺出版社 等,1
山东服装面料图案设计大赛组委会,1
山东理工大学学生会,1
山东理工大学数学建模爱好者协会,1
山东甲壳虫动漫科技有限公司,1
山东畜牧兽医职业学院团委学生工作处,1
山东省中小企业局,1
山东省互联网信息办公室 等,1
山东省人力资源和社会保障厅,1
山东省人力资源和社会保障厅 威海市人民政府,1
山东省人力资源和社会保障厅 等,1
山东省人力资源社会保障厅,1
山东省人民政府,3
山东省人民政府新闻办公室 等,1
山东省体育局,1
山东省体育局  山东省文化和旅游厅,1
山东省作家协会 等,1
山东省作家协会、菏泽市人民政府,1
山东省信息网络安全协会,1
山东省商务厅 等,1
山东省大学生数学竞赛组织委员会,1
山东省大数据局,2
山东省大数据局 等,2
山东省妇联,1
山东省委宣传部 等,1
山东省委组织部,1
山东省委网信办 等,2
山东省学生联合会,2
山东省工业和信息化厅 等,1
山东省市场监督管理局,1
山东省市场监管局 等,1
山东省广播电视局 等,1
山东省应用统计学会 等,2
山东省总工会 等,1
山东省总工会、中共山东省委网络安全和信息化委员会办公室、共青团山东省委、山东省科学技术协会、山东省科学技术厅、山东省工业和信息化厅、山东省人力资源和社会保障厅,1
山东省总工会山东省新旧动能转换综合试验区建设办公室 等,1
山东省摄影家协会 等,1
山东省教育厅,5
山东省教育厅 等,1
山东省教育厅高等教育处,1
山东省散文学会 等,1
山东省文化厅,1
山东省文化和旅游厅,2
山东省文化版权交易中心,1
山东省文学艺术界联合会,2
山东省文学艺术界联合会 等,2
山东省旅游发展委员会,1
山东省旅游推广中心 等,1
山东省漫画家协会 等,1
山东省科协 等,1
山东省科协、省教育厅、团省委、省发展改革委、省工业和信息化厅、省人力资源社会保障厅联合主办,1
山东省科学技术协会  济南市科学技术协会  中共山东省委高校工委  共青团山东省委员会,1
山东省科学技术协会 等,11
山东省科学技术协会、山东省工业和信息化厅、山东省教育厅、山东省科学技术厅、山东省文化和旅游厅,1
山东省科学技术协会、山东省教育厅、共青团山东省委员会、山东省发展和改革委员会、山东省工业和信息化厅、山东省人力资源和社会保障厅,1
山东省美术家协会 山东大学艺术学院,1
山东省美术家协会、山东大学艺术学院,1
山东省翻译协会,1
山东省老龄办,1
山东省计算机学会,1
山东省跳绳运动协会,1
山东科技大学 等,1
山东科技大学信息团委,2
山东科技大学信息学院新闻中心,1
山东科技大学共青团委员会,4
山东科技大学学生工作部 等,1
山东科技大学教务处 等,1
山东计算机学会,1
山东诗词学会 等,1
山西广播电视台经济与科技频道 等,1
山西省中小企业局 等,1
山西省公安厅交通管理局 等,1
山西省广告协会 等,1
山西省总工会 等,1
山西省摄影家协会,1
山西省教育厅,1
山西省教育厅 等,5
山西省文化创意产业研究会 等,1
山西省文化厅 等,1
山西省文化和旅游厅 等,2
山西省文化和旅游厅、山西省教育厅、山西省文物局、共青团山西省委,1
山西省模拟联合国大会,1
山西省电影家协会 等,1
山西省科学技术协会 等,1
山西省科学技术厅,1
山西省科技协会 等,1
山西省翻译协会  等,2
山西省翻译协会 等,4
山西财经大学,1
嵊州市人民政府 等,1
巢湖学院化学与材料工程学院团总支学生会,1
巢湖学院化材学院,1
巢湖学院教务处,1
巢湖学院教务处 等,1
巢湖学院旅游管理学院学生会,1
工业与信息化部/中国科学技术协会,1
工业互联网产业联盟,1
工业和信息化部,7
工业和信息化部 等,23
工业和信息化部、国务院国有资产监督管理委员会、中华全国工商业联合会、浙江省人民政府,1
工业和信息化部、教育部、江苏省人民政府,3
工业和信息化部、湖南省人民政府。,1
工业和信息化部、财政部,1
工业和信息化部人才交流中心,38
工业和信息化部人才交流中心 等,12
工业和信息化部人才交流中心、中国通信企业协会,2
工业和信息化部人才交流中心、教育部全国高等学校学生信息咨询与就业指导中心,1
工业和信息化部人才交流中心、未来设计师·全国高校数字艺术设计大赛组委会,1
工业和信息化部办公厅,3
工业和信息化部工业文化发展中心,10
工业和信息化部工业文化发展中心  等,1
工业和信息化部工业文化发展中心 等,6
工业和信息化部工业文化发展中心、中国工业设计协会,1
工业和信息化部教育与考试中心,2
工业和信息化部火炬高技术产业开发中心,1
工业和信息化部网络安全产业发展中心（工业和信息化部信息中心）,1
工业和信息化部软件与集成电路促进中心 等,1
工信部中国电子视像行业协会 等,3
工信部人才交流中心,3
工商银行,1
左衽中国／北京左衽服装设计工作室,1
巴斯夫 等,1
巴比松米勒庄园 等,1
巴黎银行,1
市委宣传部 等,1
市委宣传部、市文明办、市网信办、市发改委、市教育局、市科技局、市工信局、市财政局、市住建局、市商务局、市文广旅局、市市场监督管理局、市文联、苏州日报社、市广电总台,1
市委宣传部联合市文明办 等,1
市知识产权局 等,1
帆软软件有限公司,1
希尔顿集团 等,1
希望工程激励行动项目,1
常州大学,1
常州工学院创新创业学院 等,1
常州工学院理学院,1
常熟市文化广电新闻出版局,1
平凉市人力资源和社会保障局,1
平方创想教育科技（北京）有限公司  等,1
平面设计师考试中心,2
广东侨界人文学会 等,1
广东农工商职业技术学院计算机系,1
广东工业大学,1
广东工业大学建筑与城市规划学院科技实践活动创新中心 等,1
广东省中外传译教育研究院,5
广东省交通运输厅,1
广东省人力资源和社会保障厅,3
广东省人力资源和社会保障厅 等,3
广东省人民政府 阿里巴巴集团,1
广东省佛山市禅城区石湾镇街道宣传文体局 等,1
广东省公安厅 等,1
广东省农村信用社联合社,2
广东省国土空间生态修复协会 等,1
广东省妇女联合会 等,3
广东省委网信办 等,1
广东省家具协会,2
广东省家具协会 等,2
广东省工业与应用数学学会,1
广东省政务服务数据管理局 等,1
广东省教育厅,7
广东省教育厅、广东省人民防线建设领导小组办公室、广东省国家安全基金会,1
广东省教育厅办公室,1
广东省文化厅,1
广东省文化和旅游厅 等,1
广东省文化学会、广东省乡村发展协会、中共广州市白云区委宣传部、帽峰山省级森林公园发起，羊城晚报社、中共天河区委宣传部、中共韶关市武江区委宣传部、广东省文艺评论家协会、广东省电影家协会、广东视窗、广东省文化学会乡村振兴研究院,1
广东省文明办 等,1
广东省景区行业协会 等,1
广东省服装服饰行业协会 等,3
广东省本科高校机械基础课程教学指导委员会,1
广东省材料研究学会,1
广东省模拟联合国大会,1
广东省版权局,1
广东省物理学会,1
广东省珠海市,1
广东省生态环境厅、南方日报社,1
广东省生物医学工程学会、广州国际创新城、中山大学工学院,1
广东省皮肤性病防治中心,1
广东省科学技术协会  中共广东省委宣传部  广东省教育厅  广东省科学技术厅  广东省卫生健康委员会  广东省林业局  中国科学院广州分院  广东省科学院,1
广东省科学技术协会 等,1
广东省科学技术协会、广东省科学技术厅,1
广东省科学技术厅,2
广东省科学技术厅 等,1
广东省立中山图书馆 等,1
广东省经济和信息化委,1
广东省美术家协会漫画艺术委员会 等,1
广东省美术家协会设计艺委会 等,1
广东省计算数学学会,1
广东省计算数学学会 等,1
广东省计算机信息网络安全协会,1
广东省计算机学会,1
广东省计算机学会智能软件与机器人分会,1
广东省非物质文化遗产保护中心  中共越秀区委宣传部  广州美术学院工艺美术学院  广州市越秀区文化广电旅游体育局,1
广东省高等学校图书情报工作指导委员会,1
广东高校网络思想政治工作中心,1
广发基金管理有限公司,1
广发银行总行,1
广岛大学,1
广州信联智通实业股份有限公司蜂格研究院 等,1
广州创祎网络科技有限公司,2
广州图书馆,1
广州地区日语演讲大赛组委会,1
广州市人力资源和社会保障局,1
广州市人民政府,1
广州市国家保密局 等,1
广州市城管委,1
广州市林业和园林局 等,1
广州市番禺区人民政府,1
广州市番禺区人民政府 等,1
广州市番禺区委组织部 等,1
广州市番禺区委组织部、广州市番禺区科技工业商务和信息化局、广州大学城管理委员会、广州市番禺区委统战部、广州市番禺区委宣传部、共青团广州市番禺区委员会,1
广州市科学技术局,1
广州市维度酒店管理有限公司,1
广州市荔湾区人力资源和社会保障局、广州工控科技产业发展集团有限公司、广州立白企业集团有限公司,1
广州市青年就业创业服务中心,1
广州网乐广告有限公司,1
广州设计周组委会,1
广汉市人民政府 等,1
广汽研究院,1
广电总局 等,1
广电总局电影频道节目制作中心等,1
